Date,Open,High,Low,Vol(K),Change %,diff_between_low_and_high,diff_between_low_and_open,diff_between_high_and_open,MA_diff_between_low_and_high_3,MA_diff_between_low_and_high_5,MA_diff_between_low_and_high_7,MA_diff_between_low_and_high_10,MA_diff_between_low_and_open_3,MA_diff_between_low_and_open_5,MA_diff_between_low_and_open_7,MA_diff_between_low_and_open_10,MA_diff_between_high_and_open_3,MA_diff_between_high_and_open_5,MA_diff_between_high_and_open_7,MA_diff_between_high_and_open_10,MA_Change %_3,MA_Change %_5,MA_Change %_7,MA_Change %_10,BCHAIN-MKPRU,BCHAIN-TRVOU,BCHAIN-DIFF,BCHAIN-MWNUS,BCHAIN-AVBLS,BCHAIN-BLCHS,BCHAIN-ATRCT,BCHAIN-MIREV,BCHAIN-HRATE,BCHAIN-CPTRA,BCHAIN-CPTRV,BCHAIN-ETRVU,BCHAIN-ETRAV,BCHAIN-TOUTV,BCHAIN-NTRBL,BCHAIN-NADDU,BCHAIN-NTREP,BCHAIN-NTRAT,BCHAIN-NTRAN,BCHAIN-TRFUS,BCHAIN-TRFEE,BCHAIN-MKTCP,BCHAIN-TOTBC,BCHAIN-MWNTD,BCHAIN-MWTRV,Price
2020-02-06,9611.8,9854.9,9536.1,778.67,1.67,318.7999999999993,75.69999999999891,243.10000000000036,339.7666666666664,328.2599999999999,300.1857142857142,316.1799999999974,64.16666666666667,96.47999999999993,116.59999999999984,103.24999999999973,275.59999999999974,231.77999999999957,183.5857142857141,212.92999999999992,2.436666666666706,1.6439999999999535,1.4614285714285455,1.9069999999999871,9614.9,163509451.016,15466098935600.0,45695284.0,1.1368386444399998,261551.534429,8.41111111111111,17105098.5956,103791233.008,52.3365386658,0.514657875918228,3323586288.2882,343051.53339826,1569522.48662,2336.07407407,552411.0,310467.0,500241185.0,315370.0,271923.595614,27.10635364,175277964531.25,18202187.5,88679.0,47789.51839030001,9818.6
2020-02-07,9771.9,9872.5,9738.7,608.96,0.48,133.79999999999927,33.19999999999891,100.60000000000036,333.16666666666606,298.55999999999983,276.05714285714254,277.26999999999737,41.03333333333285,63.439999999999785,80.48571428571397,106.56999999999962,292.1333333333332,235.11999999999972,195.5714285714283,170.7,2.2300000000000395,1.6399999999999537,1.2928571428571172,1.3789999999999873,9755.66,152115909.003,15466098935600.0,45717091.0,1.28319558992806,261705.195533,8.388888888888891,17296713.614943303,106866528.8,51.641538478593795,0.958882729378,1803840353.47,184460.948957,1661226.21475,2409.62589928058,599280.0,329622.0,500557417.0,334938.0,308132.36494327,31.51759356,178155230925.0,18205112.5,84881.0,39556.3038552104,9895.5
2020-02-08,9817.3,9931.2,9673.2,551.31,0.78,258.0,144.09999999999854,113.90000000000146,236.8666666666662,282.2200000000001,290.44285714285695,285.28999999999724,84.33333333333212,73.9599999999995,94.24285714285672,108.3399999999995,152.53333333333407,208.26000000000022,196.19999999999996,176.95,0.9766666666667062,1.7139999999999536,1.3542857142856886,1.3729999999999873,9807.54,87939405.4854,15466098935555.0,45753093.0,1.11652211511,261883.369212,8.36666666666667,17511947.9489,106866528.80049,53.964278293199996,1.2128057095,1443920309.06,147390.862842,784928.205700718,2290.38129496,529398.0,313558.0,500892017.0,318363.0,213029.198937,21.33690612,179355925625.0,18206875.0,73118.0,26172.4801003,10151.5
2020-02-09,9895.4,10157.1,9882.7,617.35,2.59,274.39999999999964,12.699999999998909,261.7000000000007,222.0666666666663,306.37999999999994,289.3142857142856,276.74999999999727,63.33333333333212,55.9799999999992,67.7142857142852,100.61999999999944,158.73333333333417,250.40000000000038,221.6000000000001,176.1300000000001,1.283333333333373,2.0119999999999534,1.652857142857117,1.4079999999999873,9907.12,75572303.9296,15466098935600.0,45766740.0,0.951914071895,262038.446274,8.930555555555546,19747647.2564,117630064.075,61.9374694396,2.65219462432568,744577606.607648,73754.50444352,572106.1429999999,2072.35294118,508254.0,312303.0,501209769.0,317070.0,200784.756381,19.8217869,184480669700.0,18207725.0,68515.0,28294.0209455,9854.1
2020-02-10,10151.5,10181.7,9774.8,781.22,2.93,406.90000000000146,376.7000000000007,30.200000000000728,313.10000000000036,278.3800000000003,298.91428571428594,287.16999999999734,177.83333333333272,128.4799999999992,108.45714285714244,109.68999999999951,135.26666666666765,149.90000000000072,190.45714285714323,177.4800000000001,2.100000000000039,1.6899999999999538,2.012857142857117,1.5349999999999873,10162.41,107419112.678,15466098935600.0,45806648.0,1.19986725409836,262184.003043,9.494444444444424,15671545.1161284,93796521.681,51.597641018972304,0.946601821144,1655558310.38,167002.23945599998,1046338.47816,2443.47540983607,526825.0,293033.0,501527013.0,298104.0,279935.03481231397,27.58066679,178962706000.0,18210400.0,84989.0,41285.4300500701,10229.5
2020-02-11,9854.0,10314.1,9725.1,791.28,3.81,589.0,128.89999999999964,460.10000000000036,423.4333333333337,332.4200000000004,361.11428571428587,330.3399999999974,172.76666666666642,139.11999999999935,112.2142857142852,117.79999999999954,250.66666666666728,193.30000000000072,248.9000000000004,212.54000000000013,3.11000000000004,2.1179999999999537,2.3999999999999737,1.8809999999999871,9854.79,155424327.7455,15521134947902.1,45820295.0,1.25871225,262330.589804,10.0583333333333,19051941.2101,114190850.876276,51.21503340090001,0.825926280413,2306736286.51,231748.72092,1020598.51056751,2470.15540541,641161.0,359449.0,501824989.0,365583.0,352891.210087,34.77248558,187348515638.0,18212162.5,90760.0,53563.9916009,10317.7
2020-02-12,10229.3,10435.6,10229.3,803.25,0.86,206.3000000000011,0.0,206.3000000000011,400.7333333333342,346.9200000000008,312.4571428571432,322.7399999999976,168.53333333333345,132.47999999999956,110.18571428571366,97.95999999999958,232.20000000000073,214.44000000000088,202.2714285714293,224.78000000000029,2.5333333333333727,2.1939999999999538,1.8742857142856881,1.916999999999987,10275.38,190105216.395,15546745765500.0,45860122.0,1.1479745,262516.986823,9.777777777777757,18763378.486,109742275.189,54.4473644095,1.00323455866724,1870288291.39479,180717.5699263,1100253.78928,2426.86619718,612313.0,338620.0,502190188.0,344615.0,387378.48598,37.39850183,189235797375.0,18213262.5,91904.0,45744.2072943,10235.1
2020-02-13,10321.9,10482.6,10116.9,940.3,0.8,365.7000000000007,205.0,160.70000000000073,387.0000000000006,368.46000000000095,319.1571428571434,325.33999999999776,111.29999999999988,144.65999999999985,128.6571428571424,109.30999999999958,275.7000000000007,223.80000000000072,190.50000000000077,216.03000000000048,1.8233333333333732,2.1979999999999538,1.7499999999999738,1.955999999999987,10354.3,161983394.00100002,15546745765500.0,45881476.0,1.22948190070922,262679.882959,9.497222222222213,18474198.4419548,108969442.265,54.32293612978911,0.970312298908,1903943551.24,184803.978343,1069433.5594,2411.9219858156,608036.0,334371.0,502535380.0,340081.0,364422.754256368,35.47858608,186838050262.0,18215662.5,89278.0,46051.534490380196,10333.0
2020-02-14,10235.5,10372.4,10125.2,732.51,0.96,247.1999999999989,110.29999999999927,136.89999999999964,273.0666666666669,363.0200000000008,335.3571428571434,334.69999999999766,105.09999999999975,164.17999999999992,139.67142857142815,110.07999999999947,167.96666666666715,198.84000000000052,195.68571428571497,224.62000000000043,0.8733333333333732,1.8719999999999537,1.8185714285714023,1.941999999999987,10242.43,198094127.1122,15546745765529.0,45895180.0,1.09033008148,262853.266543,9.21666666666667,17892676.3265,104332444.722146,54.843620444799996,1.1573293356,1546031520.68,150686.406153,1047777.68508166,2415.39259259,564227.0,320995.0,502875969.0,326078.0,330638.826502,32.17258486,187994717288.0,18217425.0,84538.0,37825.7378803,9907.7
2020-02-15,10336.0,10369.8,9831.7,808.81,4.12,538.0999999999985,504.2999999999993,33.79999999999927,383.66666666666606,389.2600000000002,375.3714285714289,333.81999999999755,273.19999999999953,189.69999999999965,191.12857142857112,159.08999999999932,110.46666666666654,199.56000000000023,184.2428571428575,174.73000000000047,1.9600000000000397,2.109999999999954,2.295714285714259,1.8999999999999873,10368.53,122708338.306,15546745765500.0,45928651.0,1.09961007042,263000.46141,8.76666666666667,18294966.9415,109742275.189,56.6897318162,1.64879835548441,1109593958.57004,108897.55133657,869551.125747,2272.68309859,563001.0,317700.0,503201729.0,322721.0,289854.44145700004,28.54821404,186778881300.0,18218775.0,73097.0,23665.8948268,9932.3
